"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"a401",1,4842,0,0.11,0.06,0.03,0,-0.4,0.06,0.45,-1.95,3.03,0
"a402",2,4842,0,0.09,0.02,0.02,0,-0.32,0.02,0.34,-3.31,8.95,0
"a403",3,4842,0,0.05,0.01,0.01,0,-0.45,0.01,0.45,-8.45,69.48,0
"a404",4,4842,0,0.05,0.01,0.01,0,-0.48,0.01,0.49,-9.13,81.44,0
"a405",5,4842,0,0.1,0.06,0.02,0,-0.39,0.06,0.45,-1.76,2.59,0
"a406",6,4842,0,0.1,0.08,0.02,0,-0.28,0.08,0.36,-1.18,0.35,0
"a407",7,4842,0,0.1,0.05,0.02,0,-0.23,0.05,0.28,-1.79,1.21,0
"a408",8,4842,0,0.08,0.07,0,0,-0.1,0.07,0.17,-0.27,-1.93,0
"a409",9,4842,0,0.1,0.07,0.01,0,-0.13,0.07,0.2,-0.71,-1.5,0
"a410",10,4842,0,0.1,0.07,0.01,0,-0.14,0.07,0.21,-0.67,-1.55,0
"a411",11,4842,0,0.08,0.08,0,0,-0.09,0.08,0.17,-0.18,-1.97,0
"a412",12,4842,0,0.1,0.04,0,0.15,-0.16,0.14,0.3,-0.19,-0.93,0
"a413",13,4842,0,0.06,0.01,0.01,0,-0.45,0.01,0.46,-7.13,48.8,0
"a414",14,4842,0,0.07,0.01,0.01,0,-0.44,0.01,0.45,-6.28,37.48,0
"a415",15,4842,0,0.09,0.02,0.02,0,-0.38,0.02,0.4,-3.99,13.96,0
"a416",16,4842,0,0.11,-0.01,0.01,0.18,-0.25,0.11,0.36,-0.66,-0.63,0
"a417",17,4842,0,0.1,0.04,0.03,0,-0.24,0.04,0.28,-2.17,2.69,0
"a418",18,4842,0,0.11,0.04,0.03,0,-0.25,0.04,0.3,-2,2.02,0
"a419",19,4842,0,0.1,0.07,0.01,0,-0.16,0.07,0.23,-0.89,-1.21,0
