"","PC1","PC2","PC3"
"a401",0.735,0.128,-0.203
"a402",0.593,0.333,0.005
"a403",0.44,0.607,0.285
"a404",0.444,0.62,0.299
"a405",0.689,0.111,-0.178
"a406",0.712,-0.054,-0.305
"a407",0.665,-0.187,0.176
"a408",0.605,-0.381,0.351
"a409",0.644,-0.354,0.335
"a410",0.662,-0.352,0.326
"a411",0.6,-0.38,0.363
"a412",0.687,-0.265,-0.165
"a413",0.476,0.527,0.112
"a414",0.502,0.504,0.085
"a415",0.597,0.282,-0.11
"a416",0.763,-0.178,-0.272
"a417",0.623,0.08,-0.291
"a418",0.675,-0.099,-0.217
"a419",0.685,-0.239,-0.194
